PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Justin Holiday,CHI,27,6-6,185,Washington,USA,Undrafted,Undrafted,Undrafted,53,4.5,1.7,1.1,-4,1.50%,9.80%,16.00%,48.90%,11.10%
KJ McDaniels,HOU,23,6-6,205,Clemson,USA,2014,2,32,37,2.4,1.1,0.3,14.9,6.70%,9.10%,17.90%,52.20%,5.90%
Kobe Bryant,LAL,37,6-6,212,None,USA,1996,1,13,66,17.6,3.7,2.8,-14.8,2.00%,11.10%,31.40%,46.90%,18.30%
Manu Ginobili,SAS,38,6-6,205,None,Argentina,1999,2,57,58,9.6,2.5,3.1,14.6,2.50%,10.10%,22.70%,57.30%,23.40%
Michael Carter-Williams,MIL,24,6-6,190,Syracuse,USA,2013,1,11,54,11.5,5.1,5.2,-3.6,3.00%,13.80%,20.60%,49.70%,26.40%
Nik Stauskas,PHI,22,6-6,205,Michigan,Canada,2014,1,8,73,8.5,2.5,1.9,-11,1.20%,8.90%,16.30%,51.70%,11.90%
P.J. Tucker,PHX,31,6-6,245,Texas-Austin,USA,2006,2,35,82,8,6.2,2.2,-6.4,6.20%,13.80%,12.50%,50.60%,10.40%
PJ Hairston,MEM,23,6-6,230,North Carolina,USA,2014,1,26,66,6.2,2.6,0.6,-5.9,1.80%,11.90%,16.10%,47.00%,4.50%
Rashad Vaughn,MIL,19,6-6,202,UNLV,USA,2015,1,17,70,3.1,1.3,0.6,-8.1,1.10%,7.70%,13.00%,39.80%,5.50%
Shabazz Muhammad,MIN,23,6-6,223,UCLA,USA,2013,1,14,82,10.5,3.3,0.6,-7.8,6.20%,10.20%,22.20%,54.80%,5.50%
Sonny Weems,PHX,29,6-6,205,Arkansas,USA,2008,2,39,43,2.5,1.2,1.1,-8.1,1.20%,9.80%,12.90%,45.90%,14.80%
Spencer Dinwiddie,CHI,23,6-6,200,Colorado,USA,2014,2,38,12,4.8,1.4,1.8,-19.1,2.10%,8.30%,20.70%,42.30%,29.70%
Tim Hardaway Jr.,ATL,24,6-6,205,Michigan,USA,2013,1,24,51,6.4,1.7,1,6.6,0.80%,8.40%,15.90%,56.30%,8.90%
Tony Wroten,NYK,23,6-6,205,Washington,USA,2012,1,25,8,8.4,2.6,2.5,-23.1,1.30%,13.00%,32.00%,41.20%,27.40%
Tyreke Evans,NOP,26,6-6,220,Memphis,USA,2009,1,4,25,15.2,5.2,6.6,-0.3,2.60%,14.20%,25.40%,53.40%,36.60%
Vince Carter,MEM,39,6-6,220,North Carolina,USA,1998,1,5,60,6.6,2.4,0.9,-1.6,2.90%,11.70%,17.70%,52.00%,8.90%
Will Barton,DEN,25,6-6,175,Memphis,USA,2012,2,40,82,14.4,5.8,2.5,-3.1,2.40%,17.70%,22.60%,53.50%,14.70%
Anthony Morrow,OKC,30,6-5,210,Georgia Tech,USA,Undrafted,Undrafted,Undrafted,68,5.6,0.9,0.4,5.3,1.10%,5.40%,16.70%,54.30%,3.70%
Archie Goodwin,PHX,21,6-5,200,Kentucky,USA,2013,1,29,57,8.9,2.5,2.1,-9,2.30%,10.40%,22.70%,49.80%,17.40%
Arron Afflalo,NYK,30,6-5,210,UCLA,USA,2007,1,27,71,12.8,3.7,2,-3.4,1.00%,9.80%,17.80%,53.10%,9.70%
Ben McLemore,SAC,23,6-5,195,Kansas,USA,2013,1,7,68,7.8,2.2,1.2,1.2,2.30%,7.60%,17.20%,53.10%,7.60%
Bradley Beal,WAS,23,6-5,207,Florida,USA,2012,1,3,55,17.4,3.4,2.9,-0.2,2.40%,8.80%,24.50%,54.70%,15.30%
C.J. Wilcox,LAC,25,6-5,195,Washington,USA,2014,1,28,23,3,0.5,0.4,6.3,0.60%,5.70%,19.00%,49.10%,9.00%
Courtney Lee,CHA,30,6-5,200,Western Kentucky,USA,2008,1,22,79,9.6,2.6,1.7,3,1.30%,7.70%,14.60%,55.10%,8.80%
D'Angelo Russell,LAL,20,6-5,195,Ohio State,USA,2015,1,2,80,13.2,3.4,3.3,-11.7,1.90%,10.10%,23.80%,50.70%,21.30%
Delon Wright,TOR,24,6-5,190,Utah,USA,2015,1,20,27,3.8,1.4,1.1,3.3,3.50%,12.00%,21.80%,54.00%,22.60%
Elliot Williams,CHA,27,6-5,190,Memphis,USA,2010,1,22,5,1.6,0.8,0.8,-4.6,2.40%,6.80%,13.80%,34.00%,14.30%
Emmanuel Mudiay,DEN,20,6-5,200,None,Democratic Re...,2015,1,7,68,12.8,3.4,5.5,-3.1,1.50%,9.70%,25.00%,43.70%,28.10%
Gerald Henderson,POR,28,6-5,215,Duke,USA,2009,1,12,72,8.7,2.9,1,1.3,2.00%,12.10%,20.10%,52.60%,8.40%
Iman Shumpert,CLE,26,6-5,220,Georgia Tech,USA,2011,1,17,54,5.8,3.8,1.7,7.8,2.50%,12.70%,13.00%,47.50%,10.00%
Jamal Crawford,LAC,36,6-5,195,Michigan,USA,2000,1,8,79,14.2,1.8,2.3,2,0.90%,5.80%,23.90%,52.90%,14.50%
James Harden,HOU,26,6-5,220,Arizona State,USA,2009,1,3,82,29,6.1,7.5,1.6,1.90%,14.00%,31.90%,59.80%,35.40%
Jeremy Lamb,CHA,24,6-5,185,Connecticut,USA,2012,1,12,66,8.8,3.8,1.2,6.2,3.50%,15.70%,21.40%,52.90%,11.10%
Jordan Adams,MEM,21,6-5,209,UCLA,USA,2014,1,22,2,3.5,1,1.5,14.8,0.00%,16.70%,28.60%,42.70%,27.30%
Jordan Clarkson,LAL,24,6-5,194,Missouri,USA,2014,2,46,79,15.5,4,2.4,-12.1,3.30%,8.60%,22.50%,51.60%,13.90%
Jordan McRae,CLE,25,6-5,179,Tennessee,USA,2014,2,58,22,4.5,0.9,1.1,12.7,2.10%,7.50%,24.40%,54.80%,21.60%
Kent Bazemore,ATL,26,6-5,201,Old Dominion,USA,Undrafted,Undrafted,Undrafted,75,11.6,5.1,2.3,2.3,1.30%,15.60%,19.50%,55.10%,12.70%
Kentavious Caldwell-Pope,DET,23,6-5,205,Georgia,USA,2013,1,8,76,14.5,3.7,1.8,2.6,2.30%,7.70%,17.70%,52.10%,7.50%
Lamar Patterson,ATL,24,6-5,225,Pittsburgh,USA,2014,2,48,35,2.4,1.4,1.1,4.2,1.00%,12.20%,12.30%,46.80%,13.40%
Lance Stephenson,MEM,25,6-5,230,Cincinnati,USA,2010,2,40,69,8.3,3.2,1.9,-2.5,2.90%,13.50%,19.40%,54.80%,15.20%
Lorenzo Brown,DET,25,6-5,189,North Carolina State,USA,2013,2,52,8,2.5,0.9,1.4,-24.5,0.00%,14.60%,24.80%,37.40%,30.60%
Marco Belinelli,SAC,30,6-5,210,None,Italy,2007,1,18,68,10.2,1.7,1.9,-5.7,0.60%,6.40%,19.30%,50.00%,11.70%
O.J. Mayo,MIL,28,6-5,210,Southern California,USA,2008,1,3,41,7.8,2.6,2.9,-2.2,1.20%,8.20%,16.50%,47.40%,15.60%
Orlando Johnson,NOP,27,6-5,220,Cal-Santa Barbara,USA,2012,2,36,7,3.7,2.1,0.3,-18.3,3.10%,11.50%,16.70%,34.60%,3.10%
Pat Connaughton,POR,23,6-5,206,Notre Dame,USA,2015,2,41,34,1.1,0.9,0.3,-5,7.10%,12.60%,17.80%,35.20%,11.50%
RJ Hunter,BOS,22,6-5,185,Georgia State,USA,2015,1,28,36,2.7,1,0.4,-4.2,0.60%,11.30%,15.00%,48.00%,6.80%
Rodney Stuckey,IND,30,6-5,205,Eastern Washington,USA,2007,1,15,58,8.9,2.7,2.4,-0.3,1.50%,10.30%,20.20%,50.40%,17.90%
Wesley Matthews,DAL,29,6-5,220,Marquette,USA,Undrafted,Undrafted,Undrafted,78,12.5,3.1,1.9,2,1.00%,8.00%,17.10%,53.20%,8.80%
Zach LaVine,MIN,21,6-5,189,UCLA,USA,2014,1,13,82,14,2.8,3.1,-6.2,1.20%,8.90%,22.80%,54.80%,18.70%
Austin Rivers,LAC,23,6-4,200,Duke,USA,2012,1,10,67,8.9,1.9,1.5,-4,1.50%,7.00%,18.80%,52.30%,11.60%
CJ McCollum,POR,24,6-4,200,Lehigh,USA,2013,1,10,80,20.8,3.2,4.3,2.6,1.60%,7.50%,26.60%,54.40%,21.10%
Dion Waiters,OKC,24,6-4,220,Syracuse,USA,2012,1,4,78,9.8,2.6,2,4.4,1.60%,7.30%,17.30%,49.20%,10.30%
Dwyane Wade,MIA,34,6-4,220,Marquette,USA,2003,1,5,74,19,4.1,4.6,-0.4,3.80%,9.60%,31.00%,51.70%,26.70%
E'Twaun Moore,CHI,27,6-4,191,Purdue,USA,2011,2,55,59,7.5,2.3,1.7,-0.9,1.50%,8.20%,15.70%,54.80%,11.80%
Elfrid Payton,ORL,22,6-4,185,Louisana-Lafayette,USA,2014,1,10,73,10.7,3.6,6.4,-1.4,3.40%,8.70%,19.80%,47.80%,31.70%
Eric Gordon,NOP,27,6-4,215,Indiana,USA,2008,1,7,45,15.2,2.2,2.7,-2.3,0.70%,5.90%,20.30%,56.50%,12.90%
Erick Green,DEN,25,6-4,185,Virginia Tech,USA,2013,2,46,9,1.4,0.7,0.3,-1.2,8.10%,10.00%,13.80%,46.80%,10.70%
Gary Harris,DEN,21,6-4,210,Michigan State,USA,2014,1,19,76,12.3,2.9,1.9,-4.1,2.10%,6.90%,16.00%,56.60%,9.30%
Gary Neal,WAS,31,6-4,210,Towson,USA,Undrafted,Undrafted,Undrafted,40,9.8,2.1,1.2,-9.9,1.40%,9.30%,20.40%,55.80%,9.90%
JJ Redick,LAC,32,6-4,190,Duke,USA,2006,1,11,75,16.3,1.9,1.4,11.5,0.50%,5.70%,22.00%,63.20%,8.00%
Jared Cunningham,CLE,25,6-4,195,Oregon State,USA,2012,1,24,44,2.7,0.9,0.5,-4.8,0.80%,8.80%,16.60%,46.40%,7.40%
Jerian Grant,NYK,23,6-4,195,Notre Dame,USA,2015,1,19,76,5.6,1.9,2.3,-6.5,1.70%,9.10%,18.50%,47.90%,23.60%
Jodie Meeks,DET,28,6-4,210,Kentucky,USA,2009,2,41,3,7.3,1.7,1,3.9,2.20%,8.90%,23.20%,50.60%,14.30%
John Jenkins,PHX,25,6-4,215,Vanderbilt,USA,2012,1,23,43,4.1,1.3,0.8,-6.9,1.50%,9.40%,16.70%,52.20%,11.10%
John Wall,WAS,25,6-4,195,Kentucky,USA,2010,1,1,77,19.9,4.9,10.2,1.7,1.50%,12.20%,28.00%,51.00%,44.90%
Jrue Holiday,NOP,26,6-4,205,UCLA,USA,2009,1,17,65,16.8,3,6,0.6,1.40%,9.40%,28.30%,52.90%,36.50%
Kendall Marshall,PHI,24,6-4,200,North Carolina,USA,2012,1,13,30,3.7,0.9,2.4,-13.1,0.50%,6.70%,17.90%,44.90%,26.60%
Kirk Hinrich,ATL,35,6-4,190,Kansas,USA,2003,1,7,46,3,1.5,1.6,1.3,1.20%,9.30%,11.30%,50.40%,17.30%
Marcus Smart,BOS,22,6-4,220,Oklahoma State,USA,2014,1,6,61,9.1,4.2,3,2.5,4.10%,10.20%,16.80%,46.30%,16.20%
Marcus Thornton,WAS,29,6-4,205,Louisiana State,USA,2009,2,43,61,9.7,2.5,1.4,0.8,3.20%,9.90%,23.50%,51.10%,12.50%
Matthew Dellavedova,CLE,25,6-4,198,St.Mary's College of California,Australia,Undrafted,Undrafted,Undrafted,76,7.5,2.1,4.4,10.3,1.80%,6.80%,15.50%,52.70%,26.50%
Norman Powell,TOR,23,6-4,215,UCLA,USA,2015,2,46,49,5.6,2.3,1,4.8,2.30%,12.90%,17.40%,54.10%,10.20%
Randy Foye,OKC,32,6-4,213,Villanova,USA,2006,1,7,81,5.9,1.9,2,1,1.40%,7.60%,15.70%,46.10%,14.40%
Ricky Rubio,MIN,25,6-4,194,None,Spain,2009,1,5,76,10.1,4.3,8.7,0.5,1.80%,12.40%,17.30%,52.90%,40.20%
Sean Kilpatrick,BKN,26,6-4,219,Cincinnati,USA,Undrafted,Undrafted,Undrafted,31,11.1,1.8,0.9,-11,1.80%,7.40%,22.70%,57.60%,7.80%
Tony Allen,MEM,34,6-4,213,Oklahoma State,USA,2004,1,25,64,8.4,4.6,1.1,-1.4,6.30%,12.80%,16.70%,50.50%,6.80%
Troy Daniels,CHA,24,6-4,205,Va Commonwealth,USA,Undrafted,Undrafted,Undrafted,43,5.6,1.3,0.5,-5.1,1.40%,10.30%,19.50%,63.40%,8.30%
Tyler Johnson,MIA,24,6-4,186,Fresno State,USA,Undrafted,Undrafted,Undrafted,36,8.7,3,2.2,0.7,3.40%,9.10%,16.70%,57.90%,15.10%
Victor Oladipo,ORL,24,6-4,210,Indiana,USA,2013,1,2,72,16,4.8,3.9,-0.4,2.00%,12.10%,22.40%,53.40%,18.20%
Wayne Ellington,BKN,28,6-4,200,North Carolina,USA,2009,1,28,76,7.7,2.3,1.1,-10,1.20%,9.60%,17.20%,49.80%,8.20%
Andre Miller,SAS,40,6-3,200,Utah,USA,1999,1,8,39,3.7,1.3,2.2,2.8,3.10%,8.70%,15.60%,60.00%,27.60%
